"album_name","album_img","album_artist","album_sale","album_circulation"
"WINGS","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/D00204F4E6F74025AC51D7EC78694759.png","방탄소년단","751,301","로엔엔터테인먼트"
"EX’ACT - The 3rd Album (Korean Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/FB95B3C00BCC4E8E9461EAB60CF8207C.jpg","EXO","549,378","지니뮤직"
"For Life - 겨울 스페셜 앨범, 2016","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/94E1E84E73384A87970596A57F93F236.jpg","EXO","438,481","지니뮤직"
"화양연화 Young Forever","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/EA255667CCB64169A520F80537C91795.png","방탄소년단","368,369","로엔엔터테인먼트"
"TWICEcoaster _ LANE 1","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/C68CCB66BEE14E5A86D479F582131E7A.jpg","TWICE","350,852","지니뮤직"
"Hey Mama! - The 1st Mini Album","","EXO-CBX (첸백시)","275,191","지니뮤직"
"LOTTO - The 3rd Album Repackage (Korea...","","EXO","232,564","지니뮤직"
"FLIGHT LOG _ TURBULENCE","","GOT7","225,617","지니뮤직"
"3rd Mini Album `Going Seventeen`","","세븐틴","223,973","로엔엔터테인먼트"
"1ST ALBUM FIRST `LOVE&LETTER′","","세븐틴","191,122","로엔엔터테인먼트"
"PAGE TWO","","TWICE","179,452","지니뮤직"
"1 of 1 - The 5th Album","","샤이니 (SHINee)","170,681","지니뮤직"
"FLIGHT LOG _ DEPARTURE","","GOT7","167,145","지니뮤직"
"INFINITE ONLY","","인피니트 (Infinite)","129,806","로엔엔터테인먼트"
"Press It - The 1st Album","","태민 (TAEMIN)","115,232","지니뮤직"
"Why- The 2nd Mini Album","","태연 (TAEYEON)","111,092","지니뮤직"
"Zelos","","빅스 (VIXX)","105,870","Stone Music Entertainment"
"화양연화 pt.2","","방탄소년단","105,784","로엔엔터테인먼트"
"Hades","","빅스 (VIXX)","102,554","Stone Music Entertainment"
"THE CLAN Pt.2 `GUILTY`","","몬스타엑스","100,358","로엔엔터테인먼트"
"MADE (FULL)","","빅뱅","100,000","지니뮤직"
"화양연화 pt.1","","방탄소년단","99,836","로엔엔터테인먼트"
"Love & Letter Repackage Album","","세븐틴","98,420","로엔엔터테인먼트"
"Kratos","","빅스 (VIXX)","97,176","Stone Music Entertainment"
"miss me?","","아이오아이 (I.O.I)","93,593","로엔엔터테인먼트"
"THE CLAN pt.1 `LOST`","","몬스타엑스","91,220","로엔엔터테인먼트"
"NO.X","","김재중","85,519","로엔엔터테인먼트"
"Write..","","남우현","83,677","로엔엔터테인먼트"
"NCT #127 - The 1st Mini Album","","NCT 127","83,272","지니뮤직"
"With Love, J","","Jessica (제시카)","80,783","윈드밀미디어"
"BURST","","업텐션 (UP10TION)","80,765","로엔엔터테인먼트"
"EXIT _ E","","위너(WINNER)","79,330","지니뮤직"
"RED POINT","","틴 탑 (Teen Top)","78,880","로엔엔터테인먼트"
"Highlight","","비스트 (Beast)","77,362","Universal Music"
"1st Mini Album `Chrysalis`","","아이오아이 (I.O.I)","74,554","로엔엔터테인먼트"
"2016 Re-ALBUM","","젝스키스","73,629","지니뮤직"
"1 and 1 - The 5th Album Repackage","","샤이니 (SHINee)","69,445","지니뮤직"
"Whatta Man","","아이오아이 (I.O.I)","69,076","로엔엔터테인먼트"
"GENTLEMEN`S GAME","","2PM","68,652","지니뮤직"
"당신의 지갑에는 얼마의 사랑이 있나요.","","박유천","67,224","로엔엔터테인먼트"
"GOOD TIMING","","비원에이포 (B1A4)","67,031","로엔엔터테인먼트"
"The 1st Album `LOL`","","여자친구 (GFRIEND)","66,391","로엔엔터테인먼트"
"CARNIVAL","","B.A.P","64,100","로엔엔터테인먼트"
"I Just Wanna Dance - The 1st Mini Albu...","","티파니 (소녀시대)","63,154","지니뮤직"
"SPOTLIGHT","","업텐션 (UP10TION)","62,848","로엔엔터테인먼트"
"BLUEMING","","씨엔블루 (CNBLUE)","62,026","로엔엔터테인먼트"
"Summer go!","","업텐션 (UP10TION)","60,561","로엔엔터테인먼트"
"Autumn story","","아스트로(ASTRO)","57,524","인터파크"
"좋아 - The 1st Album","","종현 (JONGHYUN)","57,163","지니뮤직"
"Blooming Period","","블락비 (Block B)","56,737","Stone Music Entertainment"
"Russian Roulette - The 3rd Mini Album","","레드벨벳(Red Velvet)","54,989","지니뮤직"
"NOIR","","B.A.P","52,812","로엔엔터테인먼트"
"태양의 후예 OST Vol.1","","Various Artists","51,348","뮤직앤뉴"
"Remember that","","비투비 (BTOB)","50,711","Universal Music"
"THE STORY BEGINS","","TWICE","50,575","지니뮤직"
"Pink Revolution","","에이핑크 (Apink)","50,375","로엔엔터테인먼트"
"The Velvet - The 2nd Mini Album","","레드벨벳(Red Velvet)","48,866","지니뮤직"
"NEW MAN","","비투비 (BTOB)","47,847","Universal Music"
"MEMORY","","마마무 (Mamamoo)","47,056","Stone Music Entertainment"
"XIGNATURE","","XIA(준수)","45,911","로엔엔터테인먼트"
"너를 기다린다(Waiting, Still) - The 3rd Mini...","","규현 (KYUHYUN)","44,567","지니뮤직"
"Here I Am - The 1st Mini Album","","예성","43,563","지니뮤직"
"Skool Luv Affair","","방탄소년단","42,587","로엔엔터테인먼트"
"FTISLAND 6th ALBUM ′Where′s the truth?...","","FTISLAND (FT 아일랜드)","41,709","로엔엔터테인먼트"
"I am A Dreamer","","박효신","41,275","로엔엔터테인먼트"
"Good Luck","","AOA","40,282","로엔엔터테인먼트"
"Dream","","정은지","39,999","로엔엔터테인먼트"
"WELCOME BACK (Full)","","iKON","39,906","지니뮤직"
"어린왕자 (The Little Prince) - The 1st Min...","","려욱","39,774","지니뮤직"
"Melting","","마마무 (Mamamoo)","39,143","Stone Music Entertainment"
"Dark & Wild","","방탄소년단","38,781","로엔엔터테인먼트"
"WONDERLAND","","Jessica (제시카)","38,271","인터파크"
"3rd Mini Album `SNOWFLAKE`","","여자친구 (GFRIEND)","37,744","로엔엔터테인먼트"
"Dream","","수지(Suzy), 백현(BAEKHYUN)","36,900","로엔엔터테인먼트"
"Feeling Sensation","","SF9 (에스에프나인)","32,322","로엔엔터테인먼트"
"The MOBB","","MOBB","31,373","지니뮤직"
"Dear","","에이핑크 (Apink)","30,000","로엔엔터테인먼트"
"Summer Vibes","","아스트로(ASTRO)","29,907","윈드밀미디어"
"2nd Mini Album `BOYS BE`","","세븐틴","29,356","로엔엔터테인먼트"
"A New Trilogy","","러블리즈","28,985","로엔엔터테인먼트"
"태양의 후예 OST Vol. 2","","Various Artists","28,850","뮤직앤뉴"
"PUT′EM UP","","B.A.P","27,297","로엔엔터테인먼트"
"O! RUL8 ,2?","","방탄소년단","26,774","로엔엔터테인먼트"
"내 얘길 들어봐","","오마이걸 (OH MY GIRL)","26,106","로엔엔터테인먼트"
"UNCHANGING PART1","","신화","26,014","Stone Music Entertainment"
"그렇게 있어 줘","","산들 (B1A4)","25,411","로엔엔터테인먼트"
"2 Cool 4 Skool","","방탄소년단","25,212","로엔엔터테인먼트"
"Spring Up","","아스트로(ASTRO)","24,668","윈드밀미디어"
"Mr. NO♡","","준케이 (JUN. K)","23,534","지니뮤직"
"I - The 1st Mini Album","","태연 (TAEYEON)","23,354","지니뮤직"
"EVERYTHING YOU WANTED","","박재범","23,027","Stone Music Entertainment"
"HIM (Spade Ver.)","","히스토리 (HISTORY)","22,598","로엔엔터테인먼트"
"HIM (Heart Ver.)","","히스토리 (HISTORY)","22,450","로엔엔터테인먼트"
"Act.1 The Little Mermaid","","구구단 (gugudan)","22,217","Stone Music Entertainment"
"LOVE ME RIGHT - The 2nd Album Repackag...","","EXO","21,656","지니뮤직"
"E","","빅뱅","21,397","지니뮤직"
"STREET","","EXID","21,278","Sony Music"
"WELCOME 2 BASTARZ","","블락비 바스타즈","20,330","Stone Music Entertainment"
"WINDY DAY","","오마이걸 (OH MY GIRL)","20,221","로엔엔터테인먼트"
"PENTAGON","","펜타곤 (PENTAGON)","19,917","로엔엔터테인먼트"
