"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"이별하러 가는 길","","임한별|이별하러 가는 길","54,623,459","","모스트웍스","로엔엔터테인먼트"
"선물","","멜로망스(Melomance)|Moonlight","54,029,607","","민트페이퍼, 광합성","로엔엔터테인먼트"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","52,957,479","","한국방송공사","로엔엔터테인먼트"
"Save (Feat. 팔로알토) (Prod. 코드 쿤스트)","","루피(Loopy)|쇼미더머니 777 Episode 3","52,532,948","","Stone Music Entertainment","지니뮤직"
"좋은 날","","멜로망스 (MeloMance)|미스터 션샤인 OST Part 5","52,037,243","","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","51,282,284","","JTBC","인터파크"
"봄날","","방탄소년단|YOU NEVER WALK ALONE","50,035,902","","빅히트 엔터테인먼트","IRIVER"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","49,455,760","","큐브엔터테인먼트","로엔엔터테인먼트"
"HandClap","","Fitz & The Tantrums|Fitz and The Tantrums (Deluxe)","48,664,312","","Elektra","Warner Music"
"꿈처럼 내린","","다비치|뷰티 인사이드 OST Part.3","48,530,830","","뮤직앤뉴, 스튜디오앤뉴","뮤직앤뉴"
"죽겠다 (KILLING ME)","","iKON|NEW KIDS _ CONTINUE","48,424,111","","YG Entertainment","지니뮤직"
"Euphoria","","방탄소년단|LOVE YOURSELF 結 `Answer`","48,290,428","","빅히트 엔터테인먼트","IRIVER"
"Havana (Feat. Young Thug)","","Camila Cabello|Camila","47,954,613","","Syco Music/Epic","Sony Music"
"Hate You (Feat. 우원재) (Prod. 코드 쿤스트)","","pH-1|쇼미더머니 777 Episode 2","47,194,935","","Stone Music Entertainment","지니뮤직"
"Shape of You","","Ed Sheeran|÷ (Deluxe)","47,086,392","","Atlantic Records UK","Warner Music"
"넋두리","","닐로 (Nilo)|넋두리","46,594,486","","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"DNA","","방탄소년단|LOVE YOURSELF 承 `Her`","46,579,557","","빅히트 엔터테인먼트","IRIVER"
"내 생에 아름다운","","케이윌 (K.Will)|뷰티 인사이드 OST Part.4","45,567,560","","뮤직앤뉴, 스튜디오앤뉴","뮤직앤뉴"
"My Way","","이수|돈꽃 OST Part 1","45,275,791","","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"Love U","","청하|Blooming Blue","43,866,879","","MNH Entertainment","Stone Music Entertainment"
"도망가지마","","모트 (Motte)|A-TEEN Part 4","43,801,404","","PLAYLIST","로엔엔터테인먼트"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","43,785,624","","빅히트 엔터테인먼트","IRIVER"
"몰랐니 (Lil’ Touch)","","소녀시대-Oh!GG|몰랐니 - The 1st Single Album","43,501,500","","SM Entertainment","IRIVER"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","41,436,818","","쏘스뮤직","로엔엔터테인먼트"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","39,879,392","","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"벚꽃연가","","첸 (CHEN)|백일의 낭군님 OST Part 3","39,644,409","","Stone Music Entertainment, 팝뮤직","지니뮤직"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","39,536,335","","RBW","로엔엔터테인먼트"
"Answer _ Love Myself","","방탄소년단|LOVE YOURSELF 結 `Answer`","39,378,368","","빅히트 엔터테인먼트","IRIVER"
"그리워하다","","비투비 (BTOB)|Brother Act.","39,105,014","","큐브엔터테인먼트","로엔엔터테인먼트"
"Perfect","","10cm|연애플레이리스트3 Part 1","38,979,222","","PLAYLIST","로엔엔터테인먼트"
"Roller Coaster","","청하|Offset","38,227,027","","MNH Entertainment","Stone Music Entertainment"
"Wow Thing","","슬기 (SEULGI), 신비, 청하, 소연|Wow Thing","37,772,038","","SM Entertainment","IRIVER"
"넌 (none)","","크러쉬 (CRUSH)|넌 (none)","37,675,071","","아메바컬쳐","Stone Music Entertainment"
"YOUNG","","백현 (BAEKHYUN), 로꼬|YOUNG","37,537,458","","SM Entertainment","IRIVER"
"What is Love?","","TWICE|What is Love?","37,431,186","","JYP Entertainment","IRIVER"
