"album_name","album_img","album_artist","album_sale","album_circulation"
"6집 Sexy, Free & Single","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/34FDA916454748D3A83D8745B071CAC5.jpg","슈퍼주니어 (Super Junior)","356,431","지니뮤직"
"Alive","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/EE9539C48DD549CF9D5F5278819C70E0.png","빅뱅","266,848","지니뮤직"
"6집 Catch Me","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/CFAE0EF4104B4AEF8D456FC9575A6DFD.jpg","동방신기","256,447","지니뮤직"
"One Of A Kind","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/0580775FA9B742269167CAA529622A15.jpg","G-Dragon","204,326","지니뮤직"
"`Sherlock` SHINee The 4th Mini Album","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/AA75B46C77164A7F93CCC3290DBC309A.jpg","샤이니 (SHINee)","181,415","지니뮤직"
"BigBang Special Edition `Still Alive`","","빅뱅","148,030","지니뮤직"
"`MAMA` EXO-K The 1st Mini Album","","EXO-K","145,925","지니뮤직"
"`Twinkle` Mini Album","","소녀시대-태티서 (Girls` Generation-TTS)","144,222","지니뮤직"
"Midnight Sun","","비스트 (Beast)","144,175","Universal Music"
"Infinitize","","인피니트 (Infinite)","140,277","로엔엔터테인먼트"
"버스커 버스커 1집","","버스커 버스커 (Busker Busker)","136,234","Stone Music Entertainment"
"Tarantallegra","","XIA (준수)","127,620","에이앤지모즈"
"`SPY` The 6th Album Repackage","","슈퍼주니어 (Super Junior)","124,191","지니뮤직"
"3rd Mini Album Ear Fun","","씨엔블루 (CNBLUE)","122,515","Stone Music Entertainment"
"6집 싸이6甲 Part 1","","싸이 (Psy)","106,594","지니뮤직"
"10집 The Return","","신화","83,058","Stone Music Entertainment"
"Humanoids (Repackage)","","동방신기","80,386","지니뮤직"
"1집 New Breed","","박재범","76,829","Universal Music"
"Funky Town","","티아라 (T-ara)","76,749","로엔엔터테인먼트"
"`Electric Shock` The 2nd Mini Album","","f(x)","74,694","지니뮤직"
"Another Me","","김성규","70,552","로엔엔터테인먼트"
"Pandora","","카라 (Kara)","70,425","Stone Music Entertainment"
"23, Male, Single","","장우영 (2PM)","68,462","지니뮤직"
"It`s","","틴 탑 (Teen Top)","65,269","로엔엔터테인먼트"
"In The Wind","","비원에이포 (B1A4)","63,664","포니캐년코리아"
"Grown-Up","","FTISLAND (FT 아일랜드)","60,891","Stone Music Entertainment"
"Uncommitted","","XIA (준수)","60,000","에이앤지모즈"
"MBLAQ 4th Mini Album `100%Ver.`","","엠블랙 (MBLAQ)","58,175","Stone Music Entertainment"
"Volume Up","","4Minute (포미닛)","56,174","Universal Music"
"The First Collage","","양요섭 (비스트)","53,754","Universal Music"
"4집 Five Treasure Box","","FTISLAND (FT 아일랜드)","53,439","Stone Music Entertainment"
"The Boys","","소녀시대","52,863","지니뮤직"
"The B1A4Ⅰ`IGNITION` Special Edition","","비원에이포 (B1A4)","52,562","포니캐년코리아"
"1집 The B1A4Ⅰ(IGNITION)","","비원에이포 (B1A4)","50,733","포니캐년코리아"
"aRtisT","","틴 탑 (Teen Top)","45,979","로엔엔터테인먼트"
"형돈이와 대준이 미니 3집/닭크 껭스타(CD)","","형돈이와 대준이","44,496","로엔엔터테인먼트"
"2집 Last Fantasy","","아이유 (IU)","43,137","로엔엔터테인먼트"
"The 5th Album Repackage A-CHA","","슈퍼주니어 (Super Junior)","41,207","지니뮤직"
"Day By Day","","티아라 (T-ara)","40,928","로엔엔터테인먼트"
"Paradise","","인피니트 (Infinite)","40,744","Stone Music Entertainment"
"Principle Of My Soul","","나얼","39,376","로엔엔터테인먼트"
"1집 Blockbuster","","블락비 (Block B)","39,130","로엔엔터테인먼트"
"버스커 버스커 1집 마무리","","버스커 버스커 (Busker Busker)","38,310","Stone Music Entertainment"
"Warrior","","B.A.P","34,882","로엔엔터테인먼트"
"7집 Only One","","보아 (BoA)","34,255","지니뮤직"
"Welcome To The Block","","블락비 (Block B)","33,925","로엔엔터테인먼트"
"스무 살의 봄","","아이유 (IU)","33,486","로엔엔터테인먼트"
"Power","","B.A.P","33,255","로엔엔터테인먼트"
"F.Scott Fitzgerald′s Way Of Love","","2AM","32,553","지니뮤직"
"Mirage","","티아라 (T-ara)","32,155","로엔엔터테인먼트"
"The 1st Asia Tour Concert Album `SHINe...","","샤이니 (SHINee)","31,958","지니뮤직"
"야누스","","보이프렌드 (Boyfriend)","29,480","로엔엔터테인먼트"
"5집 Mr. Simple","","슈퍼주니어 (Super Junior)","29,174","지니뮤직"
"7집 99","","에픽하이 (Epik High)","27,887","지니뮤직"
"Wonder Party","","원더걸스 (Wonder Girls)","27,201","지니뮤직"
"5집 Slip Away","","넬 (Nell)","26,143","로엔엔터테인먼트"
"Love Style","","보이프렌드 (Boyfriend)","24,732","로엔엔터테인먼트"
"사랑비 OST","","Various Artists","24,520","Universal Music"
"넌 내게 반했어 OST Part 1","","Various Artists","24,199","Stone Music Entertainment"
"Winter Poetry","","신혜성 (신화)","24,102","Stone Music Entertainment"
"MBLAQ 4th Mini Album ′BLAQ%Ver.′","","엠블랙 (MBLAQ)","23,300","Stone Music Entertainment"
"All Night (EP)","","백청강","23,300","지니뮤직"
"Face (Single)","","뉴이스트 (NU`EST)","23,108","로엔엔터테인먼트"
"1집 Une Annee","","에이핑크 (Apink)","22,804","Stone Music Entertainment"
"No Mercy","","B.A.P","22,585","로엔엔터테인먼트"
"미니앨범 Ulala Sensation","","울랄라세션","22,316","Stone Music Entertainment"
"하지마","","B.A.P","21,639","로엔엔터테인먼트"
"Touch","","miss A","21,613","지니뮤직"
"베스트앨범 2PM Member′s Selection","","2PM","21,183","로엔엔터테인먼트"
"Evolution","","인피니트 (Infinite)","21,159","Stone Music Entertainment"
"숲","","이승기","20,882","로엔엔터테인먼트"
"Action","","뉴이스트 (NU`EST)","20,770","로엔엔터테인먼트"
