"album_name","album_img","album_artist","album_sale","album_circulation"
"Summer Special `Loving U`","","씨스타 (Sistar)","19,296","로엔엔터테인먼트"
"1집 First Step","","씨엔블루 (CNBLUE)","19,265","Stone Music Entertainment"
"Knock (EP)","","존 박","18,741","로엔엔터테인먼트"
"2NE1 2nd Mini Album","","2NE1","18,416","지니뮤직"
"Inspirit","","인피니트 (Infinite)","18,165","Stone Music Entertainment"
"김광석 Best","","김광석","17,948","Stone Music Entertainment"
"1집 Fiction And Fact","","비스트 (Beast)","17,912","Universal Music"
"Alone","","씨스타 (Sistar)","17,802","로엔엔터테인먼트"
"I`m Da One","","조권 (2AM)","17,547","KMP 홀딩스"
"미니 2집 Solo","","허영생","17,547","로엔엔터테인먼트"
"대박사건","","B.A.P","17,495","로엔엔터테인먼트"
"1st Mini Album `First Invasion`","","인피니트 (Infinite)","17,154","Stone Music Entertainment"
"it B1A4","","비원에이포 (B1A4)","17,080","포니캐년코리아"
"맥시싱글 Flashback","","애프터스쿨 (After School)","16,885","로엔엔터테인먼트"
"1집 Heartbreaker","","G-Dragon","16,792","지니뮤직"
"응답하라 1997 감독판 OST","","Various Artists","16,736","Stone Music Entertainment"
"SM Best Album 3","","Various Artists","16,686","지니뮤직"
"GD & TOP","","GD, TOP (빅뱅)","16,518","지니뮤직"
"닥터 진 OST","","Various Artists","16,485","로엔엔터테인먼트"
"옥탑방 왕세자 OST Vol.1","","Various Artists","16,330","SBS 콘텐츠허브"
"SE7EN NEW MINI ALBUM","","세븐 (SE7EN)","16,274","YG PLUS"
"Let`s Fly","","비원에이포 (B1A4)","15,430","포니캐년코리아"
"`Hot Summer` f(x) 1st Album Repackage","","f(x)","15,309","지니뮤직"
"Tara′s Free Time In Paris & Swiss","","티아라 (T-ara)","15,270","로엔엔터테인먼트"
"4집 Supersonic","","윤하","15,110","에이앤지모즈"
"폭풍속으로 (She`s Gone)","","초신성","15,047","Stone Music Entertainment"
"넌 내게 반했어 OST Part 2","","Various Artists","14,902","Stone Music Entertainment"
"Lee Seung Gi The Best","","이승기","14,577","로엔엔터테인먼트"
