"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"삐삐","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/8D5E77DE5984485EBB3943162BA033E0.png","아이유 (IU)|삐삐","236,213,431","1","로엔엔터테인먼트","로엔엔터테인먼트"
"하루도 그대를 사랑하지 않은 적이 없었다","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/769EA6B5A597428F8B915CEF3F926659.png","임창정|하루도 그대를 사랑하지 않은 적이 없었다","213,885,855","2","NH EMG","인터파크"
"가을 타나 봐","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/0E6630DDCCDE4180958D9FB3F4349C91.png","바이브 (Vibe)|가을 타나 봐","172,895,697","3","메이저나인","지니뮤직"
"Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3C1739999BC540429ACCABFE4739D385.png","pH-1, Kid Milli, 루피 (Loopy)|쇼미더머니 777 Episode 1","164,576,530","4","Stone Music Entertainment","지니뮤직"
"이별길 (GOODBYE ROAD)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/A99B30931D1A4FDAB51EFC87C6D2C2F2.png","iKON|NEW KIDS _ THE FINAL","157,116,915","5","YG Entertainment","지니뮤직"
"시간이 들겠지 (Feat. Colde)","","로꼬 (LOCO)|시간이 들겠지","155,746,752","6","AOMG","로엔엔터테인먼트"
"우리 그만하자","","로이킴|우리 그만하자","140,000,896","7","Stone Music Entertainment","Stone Music Entertainment"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","133,718,813","8","SM Entertainment","IRIVER"
"Way Back Home","","숀 (SHAUN)|Take","130,378,932","9","디씨톰엔터테인먼트","Warner Music"
"사이렌 (Siren)","","선미|WARNING","130,223,066","10","메이크어스엔터테인먼트","로엔엔터테인먼트"
"멋지게 인사하는 법 (Feat. 슬기 of Red Velvet)","","자이언티(Zion.T)|ZZZ","128,254,508","11","The Black Label","지니뮤직"
"헤어지는 중","","펀치 (Punch)|헤어지는 중","123,440,025","12","냠냠엔터테인먼트","로엔엔터테인먼트"
"고백","","양다일|고백","121,349,925","13","브랜뉴뮤직","로엔엔터테인먼트"
"열애중","","벤 (Ben)|RECIPE","118,766,994","14","메이저나인","지니뮤직"
"사임사임 (Feat. CHANGMO)","","Coogie, SUPERBEE, D.Ark|쇼미더머니 777 Episode 1","101,303,490","15","Stone Music Entertainment","지니뮤직"
"IDOL","","방탄소년단|LOVE YOURSELF 結 `Answer`","96,540,435","16","빅히트 엔터테인먼트","IRIVER"
"flex (Prod. By 기리보이)","","기리보이, Kid Milli, NO:EL, 스윙스 (Swings)|Dingo X Indigo Music","95,593,145","17","인디고뮤직, 딩고뮤직","로엔엔터테인먼트"
"뚜두뚜두 (DDU-DU DDU-DU)","","BLACKPINK|SQUARE UP","89,642,527","18","YG Entertainment","지니뮤직"
"IndiGO","","저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)|IM","83,640,014","19","인디고뮤직","로엔엔터테인먼트"
"Dance The Night Away","","TWICE|Summer Nights","78,685,987","20","JYP Entertainment","IRIVER"
"지나오다","","닐로 (Nilo)|About You","76,495,725","21","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"Power Up","","레드벨벳(Red Velvet)|Summer Magic - Summer Mini Album","73,578,191","22","SM Entertainment","IRIVER"
"여행","","볼빨간사춘기|Red Diary Page.2","72,400,582","23","쇼파르뮤직","로엔엔터테인먼트"
"나","","박원|r","68,803,262","24","메이크어스엔터테인먼트","로엔엔터테인먼트"
"미안해","","양다일|inside","68,382,242","25","브랜뉴뮤직","로엔엔터테인먼트"
"너나 해 (Egotistic)","","마마무 (Mamamoo)|RED MOON","65,802,812","26","RBW","로엔엔터테인먼트"
"그때 헤어지면 돼","","로이킴|그때 헤어지면 돼","65,071,516","27","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","65,035,568","28","빅히트 엔터테인먼트","IRIVER"
"비","","폴킴|비","63,325,171","29","뉴런뮤직","NHN벅스"
"셋 셀테니 (1, 2, 3!)","","승리|THE GREAT SEUNGRI","61,990,087","30","YG Entertainment","지니뮤직"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","61,143,712","31","YG Entertainment","지니뮤직"
"동화","","멜로망스 (MeloMance)|The Fairy Tale","60,696,729","32","민트페이퍼, 광합성","로엔엔터테인먼트"
"한(一)","","(여자)아이들|한(一)","60,548,439","33","큐브엔터테인먼트","로엔엔터테인먼트"
"밤편지","","아이유 (IU)|밤편지","60,309,656","34","페이브엔터테인먼트","로엔엔터테인먼트"
"SoulMate (Feat. 아이유)","","지코 (ZICO)|SoulMate","60,162,555","35","세븐시즌스","Sony Music"
"I`m Fine","","방탄소년단|LOVE YOURSELF 結 `Answer`","59,829,835","36","빅히트 엔터테인먼트","IRIVER"
"Forever Young","","BLACKPINK|SQUARE UP","59,515,576","37","YG Entertainment","지니뮤직"
"가을 안부","","먼데이키즈 (Monday Kiz)|가을 안부","59,233,421","38","RBW, 먼데이키즈 컴퍼니","지니뮤직"
"1도 없어","","에이핑크 (Apink)|ONE & SIX","58,814,544","39","플랜에이 엔터테인먼트","로엔엔터테인먼트"
"잘 지내요","","정승환|라이프 OST Part 6","57,951,568","40","씨그널엔터테인먼트그룹","지니뮤직"
"매트리스","","10cm|4.1","54,982,821","41","매직스트로베리사운드","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","54,707,790","42","리메즈","로엔엔터테인먼트"
"이별하러 가는 길","","임한별|이별하러 가는 길","54,623,459","43","모스트웍스","로엔엔터테인먼트"
"선물","","멜로망스(Melomance)|Moonlight","54,029,607","44","민트페이퍼, 광합성","로엔엔터테인먼트"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","52,957,479","45","한국방송공사","로엔엔터테인먼트"
"Save (Feat. 팔로알토) (Prod. 코드 쿤스트)","","루피(Loopy)|쇼미더머니 777 Episode 3","52,532,948","46","Stone Music Entertainment","지니뮤직"
"좋은 날","","멜로망스 (MeloMance)|미스터 션샤인 OST Part 5","52,037,243","47","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","51,282,284","48","JTBC","인터파크"
"봄날","","방탄소년단|YOU NEVER WALK ALONE","50,035,902","49","빅히트 엔터테인먼트","IRIVER"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","49,455,760","50","큐브엔터테인먼트","로엔엔터테인먼트"
"꿈처럼 내린","","다비치|뷰티 인사이드 OST Part.3","48,530,830","51","뮤직앤뉴, 스튜디오앤뉴","뮤직앤뉴"
"죽겠다 (KILLING ME)","","iKON|NEW KIDS _ CONTINUE","48,424,111","52","YG Entertainment","지니뮤직"
"Euphoria","","방탄소년단|LOVE YOURSELF 結 `Answer`","48,290,428","53","빅히트 엔터테인먼트","IRIVER"
"Hate You (Feat. 우원재) (Prod. 코드 쿤스트)","","pH-1|쇼미더머니 777 Episode 2","47,194,935","54","Stone Music Entertainment","지니뮤직"
"넋두리","","닐로 (Nilo)|넋두리","46,594,486","55","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"DNA","","방탄소년단|LOVE YOURSELF 承 `Her`","46,579,557","56","빅히트 엔터테인먼트","IRIVER"
"내 생에 아름다운","","케이윌 (K.Will)|뷰티 인사이드 OST Part.4","45,567,560","57","뮤직앤뉴, 스튜디오앤뉴","뮤직앤뉴"
"My Way","","이수|돈꽃 OST Part 1","45,275,791","58","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"Love U","","청하|Blooming Blue","43,866,879","59","MNH Entertainment","Stone Music Entertainment"
"도망가지마","","모트 (Motte)|A-TEEN Part 4","43,801,404","60","PLAYLIST","로엔엔터테인먼트"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","43,785,624","61","빅히트 엔터테인먼트","IRIVER"
"몰랐니 (Lil’ Touch)","","소녀시대-Oh!GG|몰랐니 - The 1st Single Album","43,501,500","62","SM Entertainment","IRIVER"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","41,436,818","63","쏘스뮤직","로엔엔터테인먼트"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","39,879,392","64","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"벚꽃연가","","첸 (CHEN)|백일의 낭군님 OST Part 3","39,644,409","65","Stone Music Entertainment, 팝뮤직","지니뮤직"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","39,536,335","66","RBW","로엔엔터테인먼트"
"Answer _ Love Myself","","방탄소년단|LOVE YOURSELF 結 `Answer`","39,378,368","67","빅히트 엔터테인먼트","IRIVER"
"그리워하다","","비투비 (BTOB)|Brother Act.","39,105,014","68","큐브엔터테인먼트","로엔엔터테인먼트"
"Perfect","","10cm|연애플레이리스트3 Part 1","38,979,222","69","PLAYLIST","로엔엔터테인먼트"
"Roller Coaster","","청하|Offset","38,227,027","70","MNH Entertainment","Stone Music Entertainment"
"Wow Thing","","슬기 (SEULGI), 신비, 청하, 소연|Wow Thing","37,772,038","71","SM Entertainment","IRIVER"
"넌 (none)","","크러쉬 (CRUSH)|넌 (none)","37,675,071","72","아메바컬쳐","Stone Music Entertainment"
"YOUNG","","백현 (BAEKHYUN), 로꼬|YOUNG","37,537,458","73","SM Entertainment","IRIVER"
"What is Love?","","TWICE|What is Love?","37,431,186","74","JYP Entertainment","IRIVER"
"너에게","","김민석|연애플레이리스트3 Part 2","37,396,784","75","스페이스오디티","로엔엔터테인먼트"
"NOAH (Feat. 박재범, Hoody)","","김하온 (HAON)|TRAVEL_ NOAH","37,136,215","76","H1GHR MUSIC","Stone Music Entertainment"
"공상과학기술 (Feat. 기리보이, 스윙스)","","nafla, OLNL (오르내림), ODEE|쇼미더머니 777 Episode 1","36,668,246","77","Stone Music Entertainment","지니뮤직"
"너를 만나","","폴킴|너를 만나","36,225,270","78","뉴런뮤직","로엔엔터테인먼트"
