"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"주지마","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/4D6FC8D97AC142C2B9305C836AAB6FF6.png","로꼬, 화사|건반 위의 하이에나 Part.4","191,515,359","1","한국방송공사","로엔엔터테인먼트"
"지나오다","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/1103DDB742B34CEC962A03E2457DD8F3.png","닐로 (Nilo)|About You","157,553,899","2","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"밤 (Time for the moon night)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/C4D70611F5C54CCB80048F3662C358FD.png","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","155,325,483","3","쏘스뮤직","로엔엔터테인먼트"
"You","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/C0B3AFE5AB154E43AA32182527EF554E.png","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","138,857,288","4","JTBC","인터파크"
"What is Love?","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/EEA74F5460484A3DA8568482DCFF8D56.png","TWICE|What is Love?","131,892,416","5","JYP Entertainment","IRIVER"
"잊을만하면","","크러쉬 (CRUSH)|잊을만하면","124,745,959","6","아메바컬쳐","Stone Music Entertainment"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","118,128,157","7","YG Entertainment","지니뮤직"
"붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","김하온 (HAON)|고등래퍼2 Final","116,574,813","8","Stone Music Entertainment","Stone Music Entertainment"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","112,425,344","9","빅히트 엔터테인먼트","IRIVER"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","104,632,054","10","RBW","로엔엔터테인먼트"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","101,611,524","11","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"My Way","","이수|돈꽃 OST Part 1","98,868,124","12","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"욕심","","멜로망스(MeloMance)|욕심","97,652,129","13","민트페이퍼, 광합성","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","94,227,603","14","리메즈","로엔엔터테인먼트"
"꽃 길","","빅뱅|꽃 길","90,130,586","15","YG Entertainment","지니뮤직"
"소나기 (Feat. 10cm)","","용준형|소나기","90,070,070","16","어라운드 어스","로엔엔터테인먼트"
"그때 헤어지면 돼","","로이킴|그때 헤어지면 돼","89,427,043","17","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"EVERYDAY","","WINNER|EVERYD4Y","87,478,631","18","YG Entertainment","지니뮤직"
"여행","","볼빨간사춘기|Red Diary Page.2","87,263,931","19","쇼파르뮤직","로엔엔터테인먼트"
"바코드 (Prod. GroovyRoom)","","김하온 (HAON), 이병재 (Vinxen)|고등래퍼2 팀대항전 Part 3","82,170,866","20","Stone Music Entertainment","Stone Music Entertainment"
"선물","","멜로망스(Melomance)|Moonlight","79,848,648","21","민트페이퍼, 광합성","로엔엔터테인먼트"
"Roller Coaster","","청하|Offset","79,299,452","22","MNH Entertainment","Stone Music Entertainment"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","79,117,129","23","SM Entertainment","IRIVER"
"LATATA","","(여자)아이들|I am","69,363,491","24","큐브엔터테인먼트","로엔엔터테인먼트"
"북 (Prod.SLO)","","배연서 (WEBSTER B), 오담률 (CHIN CHILLA)|고등래퍼2 팀대항전 Part 1","62,166,058","25","Stone Music Entertainment","Stone Music Entertainment"
"비행운","","문문 (MoonMoon)|LIFE IS BEAUTY FULL","61,935,875","26","덕선레코드","미러볼뮤직"
"넋두리","","닐로 (Nilo)|넋두리","61,679,661","27","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"Jenga (Feat. Gaeko)","","헤이즈 (Heize)|바람","60,974,652","28","Stone Music Entertainment, Studio blu","Stone Music Entertainment"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","60,531,545","29","빅히트 엔터테인먼트","IRIVER"
"별 시 (別 時)","","박효신|별 시 (別 時)","60,530,276","30","글러브엔터테인먼트","Stone Music Entertainment"
"DNA","","방탄소년단|LOVE YOURSELF 承 `Her`","59,819,953","31","빅히트 엔터테인먼트","IRIVER"
"가을 안부","","먼데이키즈 (Monday Kiz)|가을 안부","59,304,338","32","RBW, 먼데이키즈 컴퍼니","지니뮤직"
"전혀 (Feat. 우원재) (Prod. GroovyRoom)","","이병재 (Vinxen)|고등래퍼2 Final","58,327,360","33","Stone Music Entertainment","Stone Music Entertainment"
"Bad Boy","","레드벨벳(Red Velvet)|The Perfect Red Velvet - The 2nd Album...","57,864,042","34","SM Entertainment","IRIVER"
"이 별","","길구봉구|Star","57,573,437","35","뮤직웍스","지니뮤직"
"빛나리","","펜타곤 (PENTAGON)|Positive","57,216,670","36","큐브엔터테인먼트","로엔엔터테인먼트"
"어린 왕자 (Prod. Godic)","","김하온(HAON), 박준호(PULLIK)|고등래퍼2 팀대항전 Part 2","55,838,946","37","Stone Music Entertainment","Stone Music Entertainment"
"봄날","","방탄소년단|YOU NEVER WALK ALONE","55,694,124","38","빅히트 엔터테인먼트","IRIVER"
"밤편지","","아이유 (IU)|밤편지","54,002,076","39","페이브엔터테인먼트","로엔엔터테인먼트"
"비도 오고 그래서 (Feat. 신용재)","","헤이즈 (Heize)|/// (너 먹구름 비)","53,350,105","40","Stone Music Entertainment","Stone Music Entertainment"
"밤이 되니까","","펀치 (Punch)|밤이 되니까","52,664,614","41","냠냠엔터테인먼트","Stone Music Entertainment"
"instagram","","DEAN|instagram","51,990,810","42","Joombas Co Ltd & Universal Music","Universal Music"
