"album_name","album_img","album_artist","album_sale","album_circulation"
"LOVE YOURSELF 承 `Her`","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/C2CC952CB6984D719E64A3D04E8A4141.png","방탄소년단","1,493,443","로엔엔터테인먼트"
"THE WAR - The 4th Album (Korean Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/2172DFAA8B9E41A3A47B5C17E9170A57.jpg","EXO","949,827","지니뮤직"
"YOU NEVER WALK ALONE","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DED07710BBC7409E9ADD46F7F91073D1.png","방탄소년단","768,402","로엔엔터테인먼트"
"1X1=1(TO BE ONE)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/6A41EC6258AB4F6C8968B8D2E2DDEAA1.png","Wanna One (워너원)","741,546","Stone Music Entertainment"
"1-1=0 (NOTHING WITHOUT YOU)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/8590E4955A5E449D8BBF97BAF48E9530.png","Wanna One (워너원)","614,072","Stone Music Entertainment"
"Universe - 겨울 스페셜 앨범, 2017","","EXO","516,062","지니뮤직"
"The Power Of Music - The 4th Album Rep...","","EXO","455,269","지니뮤직"
"7 for 7","","GOT7","368,589","지니뮤직"
"2ND ALBUM `TEEN, AGE`","","세븐틴","357,296","로엔엔터테인먼트"
"FLIGHT LOG _ ARRIVAL","","GOT7","334,316","지니뮤직"
"4th Mini Album ‘Al1’","","세븐틴","331,888","로엔엔터테인먼트"
"twicetagram","","TWICE","320,389","지니뮤직"
"W, HERE","","뉴이스트 W","308,108","Stone Music Entertainment"
"SIGNAL","","TWICE","285,294","지니뮤직"
"TWICEcoaster _ LANE 2","","TWICE","277,716","지니뮤직"
"PLAY - The 8th Album","","슈퍼주니어 (Super Junior)","237,491","지니뮤직"
"Be ordinary","","황치열","224,071","NHN벅스"
"Holiday Night - The 6th Album","","소녀시대","167,638","지니뮤직"
"Merry & Happy","","TWICE","165,347","지니뮤직"
"MADE (FULL)","","빅뱅","157,513","지니뮤직"
"THE CODE","","몬스타엑스","155,933","로엔엔터테인먼트"
"My Voice - The 1st Album","","태연 (TAEYEON)","141,200","지니뮤직"
"FANTASY","","JBJ","134,900","로엔엔터테인먼트"
"THE CLAN pt.2.5 [BEAUTIFUL]","","몬스타엑스","130,814","로엔엔터테인먼트"
"NCT #127 CHERRY BOMB - The 3rd Mini Al...","","NCT 127","127,642","지니뮤직"
"NCT #127 Limitless - The 2nd Mini Albu...","","NCT 127","121,109","지니뮤직"
"Verse 2","","JJ Project","116,274","지니뮤직"
"MOVE - The 2nd Album","","태민 (TAEMIN)","115,286","지니뮤직"
"CAN YOU FEEL IT?","","하이라이트(Highlight)","114,303","로엔엔터테인먼트"
"CELEBRATE","","하이라이트(Highlight)","113,154","로엔엔터테인먼트"
"Brother Act.","","비투비 (BTOB)","100,594","로엔엔터테인먼트"
"ANOTHER LIGHT","","젝스키스","98,529","지니뮤직"
"STAR;DOM","","업텐션 (UP10TION)","95,523","로엔엔터테인먼트"
"WINGS","","방탄소년단","93,132","로엔엔터테인먼트"
"Perfect Velvet - The 2nd Album","","레드벨벳(Red Velvet)","90,456","지니뮤직"
"화양연화 Young Forever","","방탄소년단","89,761","로엔엔터테인먼트"
"桃源境 (도원경)","","빅스 (VIXX)","87,801","Stone Music Entertainment"
"Rookie - The 4th Mini Album","","레드벨벳(Red Velvet)","87,091","지니뮤직"
"The First - The 1st Single Album","","NCT DREAM","82,654","지니뮤직"
"Dream Part.01","","아스트로(ASTRO)","81,226","인터파크"
"We Young - The 1st Mini Album","","NCT DREAM","80,905","지니뮤직"
"Rollin`","","비원에이포 (B1A4)","79,212","로엔엔터테인먼트"
"The Red Summer - Summer Mini Album","","레드벨벳(Red Velvet)","78,846","지니뮤직"
"My Voice - The 1st Album Deluxe Editio...","","태연 (TAEYEON)","77,188","지니뮤직"
"Feel`eM","","비투비 (BTOB)","75,617","로엔엔터테인먼트"
"도깨비 OST Pack","","Various Artists","75,397","Stone Music Entertainment"
"The 4th Mini Album `THE AWAKENING`","","여자친구 (GFRIEND)","75,363","로엔엔터테인먼트"
"THE 20TH ANNIVERSARY","","젝스키스","73,188","지니뮤직"
"NEW KIDS _ BEGIN","","iKON","70,949","지니뮤직"
"Palette","","아이유 (IU)","70,568","로엔엔터테인먼트"
"This Christmas Winter is Coming","","태연 (TAEYEON)","69,099","지니뮤직"
"SHINE FOREVER","","몬스타엑스","66,684","로엔엔터테인먼트"
"FATE NUMBER FOR","","위너(WINNER)","66,494","지니뮤직"
"SHINHWA 13TH UNCHANGING - TOUCH","","신화","66,083","Stone Music Entertainment"
"JUNG YONG HWA 1ST MINI ALBUM DO DISTUR...","","정용화(Jung Yong Hwa)","65,771","로엔엔터테인먼트"
"화양연화 pt.2","","방탄소년단","63,360","로엔엔터테인먼트"
"The 5th Mini Album ＜PARALLEL＞","","여자친구 (GFRIEND)","62,781","로엔엔터테인먼트"
"UNMIX","","MXM (BRANDNEW BOYS)","60,021","Warner Music"
"화양연화 pt.1","","방탄소년단","59,768","로엔엔터테인먼트"
"The 8th Album ′PLAY PAUSE Ver.′","","슈퍼주니어 (Super Junior)","58,734","지니뮤직"
"OUR TWENTY FOR","","위너(WINNER)","57,502","지니뮤직"
