"album_name","album_img","album_artist","album_sale","album_circulation"
"HIGH FIVE","","틴 탑 (Teen Top)","57,409","로엔엔터테인먼트"
"Purple","","마마무 (Mamamoo)","55,589","Stone Music Entertainment"
"Pink UP","","에이핑크 (Apink)","53,675","로엔엔터테인먼트"
"CNBLUE 7TH MINI ALBUM 7℃N","","씨엔블루 (CNBLUE)","53,559","로엔엔터테인먼트"
"꽃갈피 둘","","아이유 (IU)","49,862","로엔엔터테인먼트"
"PAGE TWO","","TWICE","49,748","지니뮤직"
"WEME","","위키미키 (Weki Meki)","49,476","인터파크"
"THE BOYZ DEBUT ALBUM [THE FIRST]","","더보이즈(THE BOYZ)","48,971","로엔엔터테인먼트"
"MOVE-ing - The 2nd Album Repackage","","태민 (TAEMIN)","48,378","지니뮤직"
"WHITE NIGHT","","태양","47,365","지니뮤직"
"Skool Luv Affair","","방탄소년단","46,780","로엔엔터테인먼트"
"Dream Part.02","","아스트로(ASTRO)","46,285","인터파크"
"3rd Mini Album `Going Seventeen`","","세븐틴","45,893","로엔엔터테인먼트"
"Lovelyz 2nd Album ′R U Ready?′","","러블리즈","44,874","Stone Music Entertainment"
"My Decade","","Jessica (제시카)","44,778","인터파크"
"ROSE","","B.A.P","43,836","로엔엔터테인먼트"
"Lovelyz 3rd Mini Album [Fall in Lovely...","","러블리즈","43,687","Stone Music Entertainment"
"The 1st Mini Album `HI! PRISTIN`","","PRISTIN (프리스틴)","43,300","로엔엔터테인먼트"
"Dark & Wild","","방탄소년단","42,953","로엔엔터테인먼트"
"2nd Mini Album Whisper","","빅스LR","42,762","Stone Music Entertainment"
"TWICEcoaster _ LANE 1","","TWICE","42,632","지니뮤직"
"BOYFRIEND 5th EP `NEVER END`","","보이프렌드(Boyfriend)","41,964","로엔엔터테인먼트"
"THE 1ST MINI ALBUM PART.1 [EVER]","","정세운","41,586","로엔엔터테인먼트"
"SUNRISE","","DAY6","39,225","지니뮤직"
"MOONRISE","","DAY6","39,008","지니뮤직"
"CALLING YOU","","하이라이트(Highlight)","38,545","로엔엔터테인먼트"
"HAPPY MOMENT","","우주소녀","38,368","로엔엔터테인먼트"
"The 5th Mini Album Repackage `RAINBOW`","","여자친구 (GFRIEND)","37,474","로엔엔터테인먼트"
"종현 소품집 `이야기 Op.2`","","종현 (JONGHYUN)","37,119","지니뮤직"
"From. 우주소녀","","우주소녀","36,441","로엔엔터테인먼트"
"AOA 1st Album ANGEL`S KNOCK","","AOA","35,013","로엔엔터테인먼트"
"SIXTEEN","","사무엘","34,048","로엔엔터테인먼트"
"SF9 First Mini Album ′Burning Sensatio...","","SF9 (에스에프나인)","33,997","로엔엔터테인먼트"
"Don’t Say No - The 1st Mini Album","","서현 (SEOHYUN)","33,369","지니뮤직"
"2 Cool 4 Skool","","방탄소년단","33,008","로엔엔터테인먼트"
"the.the.the","","용국 & 시현","32,935","NHN벅스"
"SF9 3rd Mini Album [ Knights of the Su...","","SF9 (에스에프나인)","32,864","로엔엔터테인먼트"
"O! RUL8 ,2?","","방탄소년단","32,516","로엔엔터테인먼트"
"FTISLAND 10th Anniversary Album `OVER ...","","FTISLAND (FT 아일랜드)","30,750","로엔엔터테인먼트"
