album_name,album_img,album_artist,album_sale,album_circulation
매리는 외박중 OST Part 1,,Various Artists,"19,979",포니캐년코리아
Lights Go On Again,,비스트 (Beast),"19,894",Universal Music
Shock Of The New Era,,비스트 (Beast),"19,487",Universal Music
미스 리플리 OST,,Various Artists,"19,248",지니뮤직
Roman,,틴 탑 (Teen Top),"19,231",로엔엔터테인먼트
Vol.2 Temptastic (EP),,티아라 (T-ara),"18,978",Stone Music Entertainment
1집 So Cool,,씨스타 (Sistar),"18,815",로엔엔터테인먼트
Turn Me On,,김규종,"18,735",로엔엔터테인먼트
BLAQ Style 3D Edition,,엠블랙 (MBLAQ),"18,533",Stone Music Entertainment
점핑 (Jumping),,카라 (Kara),"18,475",Stone Music Entertainment
`훗(Hoot)` The 3rd Mini Album,,소녀시대,"17,759",지니뮤직
매리는 외박중 OST Part 2,,Various Artists,"17,610",포니캐년코리아
Feel Brand New (EP),,이루 (ERU),"17,516",로엔엔터테인먼트
세시봉 친구들 (3CD),,"송창식, 윤형주, 김세환","17,465",Universal Music
Not Alone (Single),,박정민,"17,450",로엔엔터테인먼트
여인의 향기 OST,,Various Artists,"17,308",로엔엔터테인먼트
내가 갈게 (I′ll be there),,보이프렌드 (Boyfriend),"16,999",로엔엔터테인먼트
Lights Go On Again (Deluxe Special Asi...,,비스트 (Beast),"16,891",Universal Music
1집 Moving In Secret,,시크릿 (Secret),"16,619",로엔엔터테인먼트
2011 마커스 라이브 워십,,마커스,"16,520",Sony Music
3집 O -正.反.合. (정반합),,동방신기,"15,827",지니뮤직
2집 Revolution,,카라 (KARA),"15,759",Stone Music Entertainment
시크릿 가든 OST,,Various Artists,"15,747",Sony Music
