"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"여행","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/219AC789566D48E1A591E6688BF35B9F.png","볼빨간사춘기|Red Diary Page.2","219,150,597","1","쇼파르뮤직","로엔엔터테인먼트"
"뚜두뚜두 (DDU-DU DDU-DU)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/F0A31FDB3B7A4E80A9BDF6F36BD7D918.png","BLACKPINK|SQUARE UP","187,880,919","2","YG Entertainment","지니뮤직"
"FAKE LOVE","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/C7030ECF51A54A979F6FFD2E3AB1F138.png","방탄소년단|LOVE YOURSELF 轉 `Tear`","146,235,102","3","빅히트 엔터테인먼트","IRIVER"
"빙글뱅글 (Bingle Bangle)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/10FE3F80CA0948629393D15A735A7FAF.png","AOA|BINGLE BANGLE","130,652,272","4","FNC엔터테인먼트","로엔엔터테인먼트"
"지나오다","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/1103DDB742B34CEC962A03E2457DD8F3.png","닐로 (Nilo)|About You","118,881,129","5","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","118,813,865","6","쏘스뮤직","로엔엔터테인먼트"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","115,473,052","7","한국방송공사","로엔엔터테인먼트"
"Forever Young","","BLACKPINK|SQUARE UP","112,484,300","8","YG Entertainment","지니뮤직"
"켜줘 (Light)","","Wanna One (워너원)|1÷χ=1 (UNDIVIDED)","101,117,324","9","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","92,098,644","10","JTBC","인터파크"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","92,021,888","11","SM Entertainment","IRIVER"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","88,792,737","12","YG Entertainment","지니뮤직"
"LATATA","","(여자)아이들|I am","85,472,208","13","큐브엔터테인먼트","로엔엔터테인먼트"
"What is Love?","","TWICE|What is Love?","82,625,935","14","JYP Entertainment","IRIVER"
"캥거루 (Kangaroo) (Prod. ZICO)","","Wanna One (워너원) - 트리플포지션|1÷χ=1 (UNDIVIDED)","82,217,197","15","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","81,242,316","16","큐브엔터테인먼트","로엔엔터테인먼트"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","79,100,752","17","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","75,192,795","18","RBW","로엔엔터테인먼트"
"붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","김하온 (HAON)|고등래퍼2 Final","73,129,231","19","Stone Music Entertainment","Stone Music Entertainment"
"그날처럼","","장덕철|그날처럼","70,866,100","20","리메즈","로엔엔터테인먼트"
"My Way","","이수|돈꽃 OST Part 1","69,976,384","21","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
