"album_album","album_img","album_artist","album_sale","album_circulation"
"3집 _ COLLAGE","","유키스 (U-Kiss)","19,440","윈드밀미디어"
"BigBang Alive Tour _ 2012 BigBang Live...","","빅뱅","19,390","지니뮤직"
"Moments","","유키스 (U-Kiss)","18,956","티에스앤컴퍼니"
"1집 First Love","","이하이","18,924","지니뮤직"
"2013 Bigbang Alive Galaxy Tour _ The F...","","빅뱅","18,466","지니뮤직"
"1집 Love Love Love","","로이킴","17,364","Stone Music Entertainment"
"Great Wave","","신승훈","17,257","Stone Music Entertainment"
"2집 Mystic Ballad","","다비치","17,046","로엔엔터테인먼트"
"Monochrome","","이효리","16,868","Stone Music Entertainment"
"Infinitize","","인피니트 (Infinite)","16,753","로엔엔터테인먼트"
"Doom Dada (Special Edition)","","탑 (T.O.P)","16,704","지니뮤직"
"In The Wind","","비원에이포 (B1A4)","16,267","포니캐년코리아"
"Name Is 4Minute","","4Minute (포미닛)","15,620","Universal Music"
"Again 1977","","티아라 (T-ara)","15,611","지니뮤직"
"BigBang Special Edition `Still Alive`","","빅뱅","15,610","지니뮤직"
"응답하라 1994 OST","","Various Artists","15,287","Stone Music Entertainment"
"9집 Goodbye, Grief.","","자우림","15,075","윈드밀미디어"
"The 2nd Single","","마이네임 (My Name)","14,576","로엔엔터테인먼트"
"`Sherlock` SHINee The 4th Mini Album","","샤이니 (SHINee)","14,301","지니뮤직"
"여보세요","","뉴이스트 (NU`EST)","14,249","로엔엔터테인먼트"
"Humanoids (Repackage)","","동방신기","14,196","지니뮤직"
"`No.1` 리패키지 스페셜 에디션","","틴 탑 (Teen Top)","14,175","로엔엔터테인먼트"
"OST Best (Flash Back)","","백지영","14,026","Sony Music"
"있다 없으니까","","씨스타 19","13,964","로엔엔터테인먼트"
"잠꼬대","","뉴이스트 (NU`EST)","13,825","로엔엔터테인먼트"
"My Everything","","이민호","13,654","로엔엔터테인먼트"
"1집 Heartbreaker","","G-Dragon","13,566","지니뮤직"
"첫사랑","","애프터스쿨 (After School)","13,563","로엔엔터테인먼트"
"The Streets Go Disco","","크레용팝 (Crayon Pop)","13,434","Sony Music"
"기대","","걸스데이 (Girl's Day)","13,431","로엔엔터테인먼트"
