"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"Way Back Home","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/209FD0570FE944879925FAA4D735BB36.png","숀 (SHAUN)|Take","227,314,841","1","디씨톰엔터테인먼트","Warner Music"
"Power Up","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/665024EB68CE4ACFB01CB30F0C50D0BC.png","레드벨벳(Red Velvet)|Summer Magic - Summer Mini Album","192,056,715","2","SM Entertainment","IRIVER"
"Dance The Night Away","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/31D4C364C5BB4FDF9414B889CA05AC8B.png","TWICE|Summer Nights","176,663,380","3","JYP Entertainment","IRIVER"
"SoulMate (Feat. 아이유)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/DC5ECFE6D43B4A99B7C53CFD5207D134.png","지코 (ZICO)|SoulMate","174,463,881","4","세븐시즌스","Sony Music"
"뚜두뚜두 (DDU-DU DDU-DU)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/F0A31FDB3B7A4E80A9BDF6F36BD7D918.png","BLACKPINK|SQUARE UP","173,822,463","5","YG Entertainment","지니뮤직"
"너나 해 (Egotistic)","","마마무 (Mamamoo)|RED MOON","151,435,848","6","RBW","로엔엔터테인먼트"
"1도 없어","","에이핑크 (Apink)|ONE & SIX","132,349,680","7","플랜에이 엔터테인먼트","로엔엔터테인먼트"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","130,686,624","8","SM Entertainment","IRIVER"
"여행","","볼빨간사춘기|Red Diary Page.2","126,744,687","9","쇼파르뮤직","로엔엔터테인먼트"
"Forever Young","","BLACKPINK|SQUARE UP","116,626,652","10","YG Entertainment","지니뮤직"
"죽겠다 (KILLING ME)","","iKON|NEW KIDS _ CONTINUE","107,531,492","11","YG Entertainment","지니뮤직"
"Love U","","청하|Blooming Blue","100,036,880","12","MNH Entertainment","Stone Music Entertainment"
"동화","","멜로망스 (MeloMance)|The Fairy Tale","96,482,702","13","민트페이퍼, 광합성","로엔엔터테인먼트"
"지나오다","","닐로 (Nilo)|About You","93,459,689","14","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"셋 셀테니 (1, 2, 3!)","","승리|THE GREAT SEUNGRI","91,512,764","15","YG Entertainment","지니뮤직"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","87,667,616","16","빅히트 엔터테인먼트","IRIVER"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","86,226,966","17","큐브엔터테인먼트","로엔엔터테인먼트"
"열애중","","벤 (Ben)|RECIPE","83,820,949","18","메이저나인","지니뮤직"
"여름여름해 (Sunny Summer)","","여자친구 (GFRIEND)|Summer Mini Album `Sunny Summer`","80,220,939","19","쏘스뮤직","로엔엔터테인먼트"
"BAAM","","모모랜드 (MOMOLAND)|Fun to The World","78,778,263","20","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","78,415,217","21","한국방송공사","로엔엔터테인먼트"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","77,280,124","22","YG Entertainment","지니뮤직"
"한(一)","","(여자)아이들|한(一)","72,540,195","23","큐브엔터테인먼트","로엔엔터테인먼트"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","69,814,313","24","쏘스뮤직","로엔엔터테인먼트"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","64,908,530","25","JTBC","인터파크"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","62,311,752","26","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"IDOL","","방탄소년단|LOVE YOURSELF 結 `Answer`","62,299,150","27","빅히트 엔터테인먼트","IRIVER"
"빙글뱅글 (Bingle Bangle)","","AOA|BINGLE BANGLE","60,803,486","28","FNC엔터테인먼트","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","60,506,715","29","리메즈","로엔엔터테인먼트"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","60,504,511","30","RBW","로엔엔터테인먼트"
"What is Love?","","TWICE|What is Love?","59,554,309","31","JYP Entertainment","IRIVER"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","57,193,728","32","빅히트 엔터테인먼트","IRIVER"
"Roller Coaster","","청하|Offset","56,364,373","33","MNH Entertainment","Stone Music Entertainment"
