"album_name","album_img","album_artist","album_sale","album_circulation"
"중독 (Overdose)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/13268D6B2AB040CEB4FF583EE0E27B50.jpg","EXO-K","385,047","지니뮤직"
"7집 Mamacita","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/1FA6138DDDD54A7EB692586F3E3C2B65.jpg","슈퍼주니어 (Super Junior)","265,781","지니뮤직"
"Tense","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DD287707BFAE43F9B0E7EB93B5768B5B.jpg","동방신기","196,971","지니뮤직"
"The 4th Mini Album `Mr.Mr.`","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DE336B85D6E141338707C920CA9AD424.jpg","소녀시대","163,209","지니뮤직"
"JUST US","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/828472377A164E43A65F88A460BCF31A.jpg","JYJ","154,804","로엔엔터테인먼트"
"Season 2","","인피니트 (Infinite)","152,479","로엔엔터테인먼트"
"The 7th Album Special Edition `THIS IS...","","슈퍼주니어 (Super Junior)","143,515","지니뮤직"
"Good Luck","","비스트 (Beast)","134,449","Universal Music"
"Who Am I","","비원에이포 (B1A4)","126,561","포니캐년코리아"
"Can′t Stop","","씨엔블루 (CNBLUE)","117,371","Stone Music Entertainment"
"The 7th Album Repackage `수리수리 (Spellbo...","","동방신기","110,566","지니뮤직"
"First Sensibility","","B.A.P","106,190","로엔엔터테인먼트"
"Dark & Wild","","방탄소년단","100,906","로엔엔터테인먼트"
"정규1집 리패키지 XOXO (Kiss Ver.)","","EXO","98,421","지니뮤직"
"Error","","빅스 (VIXX)","90,195","Stone Music Entertainment"
"Be Back","","인피니트 (Infinite)","89,548","로엔엔터테인먼트"
"Solo Day","","비원에이포 (B1A4)","86,711","포니캐년코리아"
"Red Light","","f(x)","86,143","지니뮤직"
"Skool Luv Affair","","방탄소년단","86,004","로엔엔터테인먼트"
"H.E.R","","블락비 (Block B)","84,543","Stone Music Entertainment"
"Holler","","소녀시대-태티서 (Girls` Generation-TTS)","82,904","지니뮤직"
"Ace","","태민 (TAEMIN)","82,807","지니뮤직"
"Eternity","","빅스 (VIXX)","82,666","Stone Music Entertainment"
"2014S/S","","위너(WINNER)","80,262","지니뮤직"
"EXOLOGY CHAPTER 1_ THE LOST PLANET","","EXO","78,946","지니뮤직"
"1st Mini Album","","투하트(우현&키)","74,242","로엔엔터테인먼트"
"Identify","","GOT7","70,928","지니뮤직"
"Teen Top Exito","","틴 탑 (Teen Top)","70,823","로엔엔터테인먼트"
"Time","","비스트 (Beast)","69,004","Universal Music"
"Pink Blossom","","에이핑크 (Apink)","66,139","로엔엔터테인먼트"
"Swing","","슈퍼주니어-M (Super Junior-M)","66,012","지니뮤직"
"2NE1 NEW ALBUM `CRUSH`","","2NE1","66,004","지니뮤직"
"12월의 기적 (Miracles in December) (Korean...","","EXO","65,902","지니뮤직"
"광화문에서","","규현 (KYUHYUN)","63,050","지니뮤직"
"Pink LUV","","에이핑크 (Apink)","61,523","로엔엔터테인먼트"
"GOT♡","","GOT7","59,725","지니뮤직"
"RISE","","태양","58,435","지니뮤직"
"`MAMA` EXO-K The 1st Mini Album","","EXO-K","57,760","지니뮤직"
"동행","","김동률","53,777","로엔엔터테인먼트"
"First Single Album 靑","","인피니트 F (Infinite F)","52,914","로엔엔터테인먼트"
"미친거 아니야?","","2PM","52,840","지니뮤직"
"Got it ?","","GOT7","51,689","지니뮤직"
"WWW 화장을 지우다","","김재중","50,000","에이앤지모즈"
"Chapter8","","god","43,449","Stone Music Entertainment"
"Da Capo","","토이 (Toy)","42,934","Stone Music Entertainment"
"꽃갈피","","아이유 (IU)","42,767","로엔엔터테인먼트"
"김광석 Best","","김광석","42,721","Stone Music Entertainment"
"Quiet Night","","서태지","42,705","Stone Music Entertainment"
"S.M. The Ballad Vol.2 Breath (Korean V...","","S.M. THE BALLAD","39,917","지니뮤직"
"XOXO (Kiss Ver.)","","EXO","38,701","지니뮤직"
"Rain Effect","","비 (Rain)","37,431","로엔엔터테인먼트"
"SERENDIPITY","","이선희","36,305","로엔엔터테인먼트"
"PLAY","","악동뮤지션 (AKMU)","35,583","지니뮤직"
"뛰뛰빵빵","","비투비 (BTOB)","35,052","Universal Music"
"Evolution","","박재범","33,512","Stone Music Entertainment"
"Timing","","김현중","33,329","Stone Music Entertainment"
"Voodoo","","빅스 (VIXX)","32,183","Stone Music Entertainment"
"The Origin (한정반)","","인피니트 (Infinite)","29,950","지니뮤직"
"신발장","","에픽하이 (Epik High)","28,452","지니뮤직"
"The 4th World Tour","","동방신기","28,106","지니뮤직"
"Unplugged 2014","","B.A.P","27,444","로엔엔터테인먼트"
"Jackpot (Special Edition)","","블락비 (Block B)","27,421","Stone Music Entertainment"
"Day & Night","","카라","27,177","로엔엔터테인먼트"
"별에서 온 그대 OST","","Various Artists","26,993","로엔엔터테인먼트"
"Obsession","","보이프렌드 (Boyfriend)","25,297","로엔엔터테인먼트"
"fall to fly-前","","이승환","24,441","지니뮤직"
"Girl′s Day Everyday #4","","걸스데이 (Girl's Day)","23,773","로엔엔터테인먼트"
"The Winter′s Tale","","비투비 (BTOB)","22,137","Universal Music"
"Witch","","보이프렌드 (Boyfriend)","21,598","로엔엔터테인먼트"
"Girl′s Day Everyday III","","걸스데이 (Girl's Day)","20,814","로엔엔터테인먼트"
"슈가프리","","티아라 (T-ara)","20,677","지니뮤직"
"사뿐사뿐","","AOA","20,179","Stone Music Entertainment"
"미친거 아니야? (Grand Edition)","","2PM","19,975","지니뮤직"
"Move","","비투비 (BTOB)","19,643","Universal Music"
"Fantastic","","헨리","19,231","지니뮤직"
"Broken","","엠블랙 (MBLAQ)","18,597","Stone Music Entertainment"
"리패키지 Teen Top 20′s Love Two Exito","","틴 탑 (Teen Top)","18,593","로엔엔터테인먼트"
"Frozen OST (한국어 더빙 버전)","","Various Artists","18,505","Universal Music"
"Secret Garden","","에이핑크 (Apink)","18,101","Stone Music Entertainment"
"Thank Your Soul - SIDE A","","브라운 아이드 소울 (Brown Eyed Soul)","17,701","Stone Music Entertainment"
"GOOD BOY","","GD X TAEYANG","17,346","지니뮤직"
"First Homme","","제국의 아이들 (ZE:A)","16,770","지니뮤직"
"O! RUL8 ,2?","","방탄소년단","16,412","로엔엔터테인먼트"
"Continuum","","플라이 투 더 스카이 (Fly To The Sky)","16,365","로엔엔터테인먼트"
"JAPAN BEST ′ALL ABOUT′","","FTISLAND (FT 아일랜드)","16,069","Stone Music Entertainment"
"Never Ever","","지연","15,639","지니뮤직"
"Newton′s Apple","","넬 (Nell)","15,351","로엔엔터테인먼트"
"단발머리","","AOA","14,869","Stone Music Entertainment"
"Skool Luv Affair Special Addition","","방탄소년단","14,852","로엔엔터테인먼트"
"노래할게","","이민호","14,822","Universal Music"
"Touch & Move","","씨스타 (Sistar)","14,548","로엔엔터테인먼트"
"Winter Wonderland","","성시경","13,961","Stone Music Entertainment"
"Mono Scandal","","유키스 (U-KISS)","13,942","윈드밀미디어"
"11집 My Love","","이승철","13,522","Stone Music Entertainment"
"Teenager","","정준영","13,497","Stone Music Entertainment"
"Re_BIRTH","","뉴이스트 (NU`EST)","13,308","로엔엔터테인먼트"
"2 Cool 4 Skool","","방탄소년단","13,040","로엔엔터테인먼트"
"SHINee The 3rd Concert Album SHINee WO...","","샤이니 (SHINee)","13,000","지니뮤직"
"Mr.Gae","","Gary (개리)","12,870","로엔엔터테인먼트"
"Pink Tape","","f(x)","12,661","지니뮤직"
